Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7  ,Feat8,Feat9,Turbvalue
0.30435,0.00076538,0.17188,0.4497,0.70391,0.2717,0.42896,0.023428,0.26804,0.02
0.26087,0.00042802,0.33594,0.63314,0.48045,0.21877,0.43543,0.01163,0.21583,0.04
0.065217,0.0031534,0.35938,0.49704,0.41899,0.079568,0.44472,0.0093945,0.07869,0.4
0.1087,0.00057632,0.46094,0.6568,0.46369,0.09051,0.48962,0.02318,0.089291,0.2
0.065217,0.0031447,0.27344,0.34911,0.41899,0.051765,0.45511,0.012915,0.0509,0.4
0.13043,0.00077717,0.36719,0.55621,0.63687,0.11939,0.47719,0.019916,0.11779,1
0.065217,0.0027483,0.36719,0.49704,0.36872,0.052333,0.42769,0.011235,0.051762,0.4
0.21739,0.00084043,0.33594,0.60355,0.22905,0.18328,0.42842,0.012604,0.18084,0.2
0.28261,0.00089815,0.21875,0.48521,0.60335,0.24931,0.48454,0.022456,0.24593,0.02
0,0.00080175,0.35156,0.40828,0.55866,0.00095286,0.51479,0.045279,0.00095095,1
0.23913,0.0012664,0.30469,0.64497,0.40223,0.21519,0.43412,0.011718,0.21232,0.04
0.26087,0.00080872,0.078125,0.16568,0.8324,0.23546,0.46837,0.090243,0.23229,0.0002
0.13043,0.00076066,0.51563,0.7929,0.36872,0.1198,0.42102,0.014139,0.11817,0.2
0.34783,0.0029174,0.078125,0.21302,0.63687,0.28906,0.2429,0.34572,0.28514,0.0002
0.086957,0.0020268,0.42969,0.59172,0.27933,0.072545,0.39673,0.020169,0.071709,1
0.1087,0.0011461,0.39844,0.5858,0.75419,0.099131,0.51102,0.066354,0.097767,1
0.21739,0.00301,0.27344,0.56213,0.094972,0.21329,0.45926,0.011569,0.21051,0.04
0.043478,0.0011504,0.38281,0.48521,0.45251,0.03166,0.41112,0.0088963,0.031248,1
0.043478,0.00093124,0.3125,0.39053,0.067039,0.04011,0.48729,0.028101,0.039579,0.4
0.065217,0.00085445,0.35156,0.4497,0.43017,0.045151,0.3992,0.046355,0.04456,0.4
0.043478,0.0053127,0.33594,0.4142,0.14525,0.05829,0.44811,0.0074389,0.057802,0.4
0,0.0020228,0.35938,0.43787,0.34078,0.00032229,0.48763,0.014095,0.00029848,1
0.30435,0.0016965,0.19531,0.47337,0.49162,0.26322,0.4396,0.019868,0.25968,0.02
0.1087,0.00086745,0.39844,0.5858,0.73743,0.098581,0.43092,0.0062638,0.097271,1
0.32609,0.011114,0.046875,0.13018,0.76536,0.28063,0.49283,0.047863,0.27676,0.0002
0.30435,0.0017558,0.15625,0.38462,0.7095,0.27429,0.5011,0.022218,0.27061,0.02
0.23913,0.00092206,0.35156,0.68639,0.65363,0.20303,0.45038,0.011905,0.20031,0.04
0.1087,0.0010348,0.39844,0.57396,0.36872,0.089435,0.42761,0.0074909,0.088237,0.2
0.26087,0.00096364,0.21094,0.44379,0.68715,0.22853,0.4637,0.010901,0.22547,0.02
0.1087,0.00059784,0.5,0.69822,0.5419,0.08298,0.40027,0.026726,0.081872,1
0.32609,0.0020974,0.19531,0.47929,0.78212,0.27003,0.42111,0.0077572,0.26646,0.02
0,0.0036034,0.375,0.43787,0.3352,0.0093087,0.44612,0.0035871,0.0091689,1
0.41304,0.0039787,0.039063,0.15976,0.64246,0.34872,0.37876,0.023723,0.34399,0.0002
0.043478,0.002054,0.33594,0.4142,0.055866,0.034211,0.46869,0.012194,0.033596,0.4
0.26087,0.0047688,0.078125,0.16568,0.80447,0.24618,0.48363,0.015448,0.2428,0.0002
0.30435,0.00054593,0.16406,0.43787,0.67598,0.27341,0.39106,0.042645,0.26974,0.02
0.13043,0.00068959,0.42188,0.63905,0.60894,0.12169,0.45648,0.01247,0.12005,1
0.28261,0.0025382,0.17188,0.42604,0.57542,0.25686,0.43623,0.0013195,0.25348,0.02
0.15217,0.0013942,0.42188,0.68639,0.46927,0.13218,0.44765,0.0063955,0.13047,0.2
0.1087,0.00057995,0.5,0.69822,0.48603,0.086641,0.42884,0.01242,0.085484,1
0.26087,0.00063185,0.29688,0.69822,0.50838,0.22164,0.42935,0.010106,0.21867,0.04
0.23913,0.0012957,0.33594,0.66272,0.47486,0.21286,0.4449,0.0075285,0.20996,0.04
0.28261,0.0036034,0.21875,0.48521,0.63128,0.2565,0.44089,0.0098849,0.25303,0.02
0.15217,0.0013036,0.45313,0.68639,0.43017,0.13244,0.44414,0.006043,0.1307,0.2
0.21739,0.00091712,0.25781,0.46746,0.4581,0.18059,0.42333,0.019944,0.17818,0.04
0.30435,0.00053035,0.17188,0.40237,0.81006,0.27131,0.49421,0.027705,0.26767,0.02
0.23913,0.01007,0.078125,0.15385,0.75419,0.24216,0.45498,0.001987,0.23874,0.0002
0.30435,0.00084532,0.15625,0.37278,0.4581,0.26737,0.53493,0.050774,0.26378,0.02
0.086957,0.00079967,0.5,0.68639,0.48045,0.08283,0.4435,0.0095803,0.081727,1
0.28261,0.0014495,0.17188,0.43787,0.57542,0.25833,0.44184,0.014536,0.25488,0.02
0.065217,0.0018839,0.39844,0.6213,0.67039,0.05112,0.4087,0.016831,0.050442,1
0.28261,0.0010561,0.21875,0.48521,0.65922,0.25193,0.45912,0.005247,0.24856,0.02
0.13043,0.0021236,0.35938,0.52071,0.53631,0.11365,0.45061,0.007381,0.11211,0.4
0.28261,0.0010017,0.17969,0.38462,0.46927,0.24265,0.47368,0.022357,0.23936,0.02
0.086957,0.0010839,0.39063,0.5503,0.67598,0.082438,0.44615,0.018016,0.081343,1
0.1087,0.00092906,0.46094,0.64497,0.3352,0.084609,0.46661,0.011283,0.08353,0.4
0.1087,0.0018188,0.39063,0.5858,0.74302,0.10455,0.43704,0.0043005,0.10319,1
0.065217,0.00096334,0.28125,0.35503,0.0055866,0.04667,0.48525,0.022045,0.046035,0.4
0.26087,0.0008882,0.19531,0.42604,0.46369,0.23458,0.44603,0.01004,0.23143,0.02
0.23913,0.0012301,0.3125,0.60947,0.53073,0.21484,0.43567,0.012944,0.21197,0.04
0.30435,0.00045906,0.1875,0.4497,0.64804,0.26996,0.45611,0.0018648,0.26632,0.02
0.23913,0.020389,0.054688,0.10651,0.7933,0.22594,0.569,0.04779,0.2232,0.0002
0.043478,0.0013538,0.3125,0.39053,0.067039,0.04345,0.4681,0.011304,0.042839,0.4
0.086957,0.0015998,0.42969,0.57396,0.35754,0.084958,0.43529,0.0099102,0.083826,0.2
0.065217,0.0009613,0.28125,0.36095,0.35754,0.043339,0.38907,0.029512,0.042774,1
0.13043,0.0018586,0.36719,0.53846,0.69274,0.10402,0.42414,0.012392,0.10261,1
0.23913,0.00078637,0.30469,0.5858,0.50279,0.2064,0.465,0.010746,0.20365,0.04
0.17391,0.002531,0.36719,0.6213,0.43017,0.14785,0.41158,0.0084824,0.14576,0.4
0.26087,0.0010201,0.20313,0.45562,0.48045,0.23966,0.42077,0.0092931,0.23647,0.02
0.32609,0.00080952,0.17188,0.43787,0.78212,0.27589,0.46334,0.0093564,0.27216,0.02
0.30435,0.0013745,0.1875,0.4497,0.37989,0.26337,0.46723,0.020821,0.25984,0.02
0.23913,0.0025014,0.33594,0.6568,0.15084,0.2235,0.46517,0.011133,0.22046,0.04
0.13043,0.00078989,0.42188,0.62722,0.62011,0.11068,0.43107,0.01881,0.1092,1
0.086957,0.0015351,0.39063,0.57396,0.48045,0.07424,0.45141,0.011967,0.073248,0.2
0.23913,0.0032062,0.1875,0.36686,0.7486,0.21353,0.40149,0.019234,0.21059,0.02
0.086957,0.006971,0.32813,0.49112,0.54749,0.10365,0.45175,0.0073857,0.10252,0.4
0.17391,0.0022306,0.41406,0.73964,0.2067,0.15965,0.45514,0.0057885,0.15749,0.2
0.26087,0.012257,0.078125,0.16568,0.61453,0.25711,0.50303,0.025641,0.25317,0.0002
0.19565,0.0010399,0.47656,0.80473,0.31844,0.1678,0.44301,0.012248,0.16561,0.2
0.28261,0.00073364,0.21875,0.45562,0.6648,0.24651,0.44704,0.014938,0.24321,0.02
0.26087,0.00068512,0.32031,0.68047,0.31844,0.22738,0.43997,0.010274,0.22433,0.04
0.19565,0.0011505,0.30469,0.52663,0.68715,0.16343,0.42851,0.012957,0.16124,0.04
0.13043,0.00073819,0.36719,0.55621,0.63687,0.11271,0.39583,0.030595,0.1112,1
0.17391,0.00051576,0.45313,0.77515,0.44693,0.14332,0.45225,0.013505,0.14138,0.2
0.13043,0.014024,0.39063,0.60947,0.24022,0.085401,0.43215,0.0032933,0.084389,0.4
0.086957,0.0018388,0.25781,0.34911,0.20112,0.075239,0.45994,0.010574,0.074209,0.4
0.23913,0.00052295,0.33594,0.62722,0.34637,0.19958,0.46168,0.011777,0.19691,0.04
0.30435,0.0011174,0.15625,0.38462,0.58101,0.27251,0.43699,0.01535,0.26884,0.02
0.065217,0.0019549,0.39844,0.47929,0.38547,0.039004,0.39075,0.017371,0.038518,1
0.28261,0.0020722,0.085938,0.2071,0.84916,0.25561,0.4155,0.012235,0.25209,0.0002
0.19565,0.0010802,0.25781,0.46746,0.46369,0.17951,0.38606,0.043291,0.17709,0.04
0.13043,0.0005284,0.38281,0.56805,0.3743,0.10966,0.47227,0.037109,0.10819,0.2
0.065217,0.0012833,0.4375,0.57396,0.46369,0.057802,0.43351,0.0097133,0.057044,0.2
0.13043,0.0014214,0.38281,0.56805,0.75978,0.10076,0.40959,0.010698,0.099399,1
0.17391,0.0027619,0.28906,0.46746,0.46369,0.16272,0.43775,0.0050188,0.16051,0.04
0.23913,0.0014174,0.28906,0.56213,0.51397,0.21297,0.46196,0.012293,0.21011,0.04
0.13043,0.0004344,0.42188,0.63905,0.61453,0.1182,0.4944,0.023522,0.11662,1
0.30435,0.00065967,0.1875,0.4497,0.71508,0.27317,0.47753,0.011244,0.2695,0.02
0.086957,0.00084606,0.46875,0.65089,0.26257,0.082212,0.45729,0.013706,0.081119,0.4
0.19565,0.00067709,0.40625,0.69822,0.2067,0.17681,0.42979,0.0099748,0.17445,0.2
0.28261,0.001332,0.1875,0.4497,0.65363,0.25469,0.40309,0.01213,0.25125,0.02
0.30435,0.0017611,0.17188,0.43787,0.48045,0.27009,0.44118,0.021258,0.26647,0.02
